cloudyblue,#acc2d9
darkpastelgree,#56ae57
dust,#b2996e
electriclime,#a8ff04
freshgree,#69d84f
lighteggplat,#894585
astygree,#70b23f
reallylightblue,#d4ffff
tea,#65ab7c
warmpurple,#952e8f
yellowishta,#fcfc81
cemet,#a5a391
darkgrassgree,#388004
dustyteal,#4c9085
greyteal,#5e9b8a
macaroiadcheese,#efb435
pikishta,#d99b82
spruce,#0a5f38
strogblue,#0c06f7
toxicgree,#61de2a
widowsblue,#3778bf
blueblue,#2242c7
bluewithahitofpurple,#533cc6
booger,#9bb53c
brightseagree,#05ffa6
darkgreeblue,#1f6357
deepturquoise,#017374
greeteal,#0cb577
strogpik,#ff0789
blad,#afa88b
deepaqua,#08787f
lavederpik,#dd85d7
lightmossgree,#a6c875
lightseafoamgree,#a7ffb5
oliveyellow,#c2b709
pigpik,#e78ea5
deeplilac,#966ebd
desert,#ccad60
dustylaveder,#ac86a8
purpleygrey,#947e94
purply,#983fb2
cadypik,#ff63e9
lightpastelgree,#b2fba5
boriggree,#63b365
kiwigree,#8ee53f
lightgreygree,#b7e1a1
oragepik,#ff6f52
teagree,#bdf8a3
verylightbrow,#d3b683
eggshell,#fffcc4
eggplatpurple,#430541
powderpik,#ffb2d0
reddishgrey,#997570
babyshitbrow,#ad900d
liliac,#c48efd
stormyblue,#507b9c
uglybrow,#7d7103
custard,#fffd78
darkishpik,#da467d
deepbrow,#410200
greeishbeige,#c9d179
mailla,#fffa86
offblue,#5684ae
battleshipgrey,#6b7c85
browygree,#6f6c0a
bruise,#7e4071
kelleygree,#009337
sicklyyellow,#d0e429
suyyellow,#fff917
azul,#1d5dec
darkgree,#054907
greeyellow,#b5ce08
liche,#8fb67b
lightlightgree,#c8ffb0
palegold,#fdde6c
suyellow,#ffdf22
tagree,#a9be70
burple,#6832e3
butterscotch,#fdb147
toupe,#c7ac7d
darkcream,#fff39a
idiared,#850e04
lightlavedar,#efc0fe
poisogree,#40fd14
babypukegree,#b6c406
brightyellowgree,#9dff00
charcoalgrey,#3c4142
squash,#f2ab15
ciamo,#ac4f06
lightpeagree,#c4fe82
radioactivegree,#2cfa1f
rawsiea,#9a6200
babypurple,#ca9bf7
cocoa,#875f42
lightroyalblue,#3a2efe
orageish,#fd8d49
rustbrow,#8b3103
sadbrow,#cba560
swamp,#698339
tealishgree,#0cdc73
burtsiea,#b75203
camo,#7f8f4e
duskblue,#26538d
fer,#63a950
oldrose,#c87f89
palelightgree,#b1fc99
peachypik,#ff9a8a
rosypik,#f6688e
lightbluishgree,#76fda8
lightbrightgree,#53fe5c
lighteogree,#4efd54
lightseafoam,#a0febf
tiffayblue,#7bf2da
washedoutgree,#bcf5a6
browyorage,#ca6b02
iceblue,#107ab0
sapphire,#2138ab
greyishteal,#719f91
orageyyellow,#fdb915
parchmet,#fefcaf
straw,#fcf679
verydarkbrow,#1d0200
terracota,#cb6843
uglyblue,#31668a
clearblue,#247afd
creme,#ffffb6
foamgree,#90fda9
greygree,#86a17d
lightgold,#fddc5c
seafoamblue,#78d1b6
topaz,#13bbaf
violetpik,#fb5ffc
witergree,#20f986
yellowta,#ffe36e
darkfuchsia,#9d0759
idigoblue,#3a18b1
lightyellowishgree,#c2ff89
palemageta,#d767ad
richpurple,#720058
sufloweryellow,#ffda03
greeblue,#01c08d
leather,#ac7434
raciggree,#014600
vividpurple,#9900fa
darkroyalblue,#02066f
hazel,#8e7618
mutedpik,#d1768f
boogergree,#96b403
caary,#fdff63
coolgrey,#95a3a6
darktaupe,#7f684e
darkishpurple,#751973
truegree,#089404
coralpik,#ff6163
darksage,#598556
darkslateblue,#214761
flatblue,#3c73a8
mushroom,#ba9e88
richblue,#021bf9
dirtypurple,#734a65
greeblue,#23c48b
ickygree,#8fae22
lightkhaki,#e6f2a2
warmblue,#4b57db
darkhotpik,#d90166
deepseablue,#015482
carmie,#9d0216
darkyellowgree,#728f02
palepeach,#ffe5ad
plumpurple,#4e0550
golderod,#f9bc08
eored,#ff073a
oldpik,#c77986
verypaleblue,#d6fffe
bloodorage,#fe4b03
grapefruit,#fd5956
sadyellow,#fce166
claybrow,#b2713d
darkbluegrey,#1f3b4d
flatgree,#699d4c
lightgreeblue,#56fca2
warmpik,#fb5581
dodgerblue,#3e82fc
grossgree,#a0bf16
ice,#d6fffa
metallicblue,#4f738e
palesalmo,#ffb19a
sapgree,#5c8b15
algae,#54ac68
blueygrey,#89a0b0
greeygrey,#7ea07a
highlightergree,#1bfc06
lightlightblue,#cafffb
lightmit,#b6ffbb
rawumber,#a75e09
vividblue,#152eff
deeplaveder,#8d5eb7
dullteal,#5f9e8f
lightgreeishblue,#63f7b4
mudgree,#606602
